time,G1,G2,G3,total_gen_MW,net_load_MW
2024-06-03 22:00:00,21.015403,0.0,0.0,21.015403,21.015402703127645
2024-06-03 23:00:00,19.639815,0.0,0.0,19.639815,19.639815141150393
2024-06-04 00:00:00,18.961563,0.0,0.0,18.961563,18.961563308106903
2024-06-04 01:00:00,20.745741,0.0,0.0,20.745741,20.745741116080644
2024-06-04 02:00:00,20.55438,0.0,0.0,20.55438,20.554380341215168
2024-06-04 03:00:00,22.375474,0.0,0.0,22.375474,22.375473993257266
2024-06-04 04:00:00,22.288053,0.0,0.0,22.288053,22.288053218629724
2024-06-04 05:00:00,25.23781,0.0,0.0,25.23781,25.23780953661507
2024-06-04 06:00:00,23.054918,0.0,0.0,23.054918,23.05491765656842
2024-06-04 07:00:00,16.882844,0.0,0.0,16.882844,16.882843820761444
2024-06-04 08:00:00,11.95724,0.0,0.0,11.95724,11.95724019063768
2024-06-04 09:00:00,5.8643242,0.0,0.0,5.8643242,5.8643241679980775
2024-06-04 10:00:00,10.559617,0.0,0.0,10.559617,10.559617420549383
2024-06-04 11:00:00,9.4270214,0.0,0.0,9.4270214,9.427021439298894
2024-06-04 12:00:00,12.78316,0.0,0.0,12.78316,12.783159558681078
2024-06-04 13:00:00,14.032619,0.0,0.0,14.032619,14.03261864157066
2024-06-04 14:00:00,5.5191156,0.0,0.0,5.5191156,5.519115565316682
2024-06-04 15:00:00,1.018937,0.0,0.0,1.018937,1.0189370190883693
2024-06-04 16:00:00,8.5141825,0.0,0.0,8.5141825,8.514182508454816
2024-06-04 17:00:00,13.046388,0.0,0.0,13.046388,13.046388486790406
2024-06-04 18:00:00,14.413419,0.0,0.0,14.413419,14.413418562010339
2024-06-04 19:00:00,15.782884,0.0,0.0,15.782884,15.782883761153046
2024-06-04 20:00:00,20.576812,0.0,0.0,20.576812,20.576811837377036
2024-06-04 21:00:00,24.880423,0.0,0.0,24.880423,24.8804226836404
2024-06-04 22:00:00,20.397931,0.0,0.0,20.397931,20.39793053719748
2024-06-04 23:00:00,19.169077,0.0,0.0,19.169077,19.16907725352098
2024-06-05 00:00:00,18.356692,0.0,0.0,18.356692,18.356692318577714
2024-06-05 01:00:00,18.50413,0.0,0.0,18.50413,18.504129758597777
2024-06-05 02:00:00,20.940403,0.0,0.0,20.940403,20.940403077194475
2024-06-05 03:00:00,19.981527,0.0,0.0,19.981527,19.981527379115523
2024-06-05 04:00:00,22.361688,0.0,0.0,22.361688,22.36168835707544
2024-06-05 05:00:00,26.948842,0.0,0.0,26.948842,26.948842446679098
2024-06-05 06:00:00,19.263561,0.0,0.0,19.263561,19.263561464139755
2024-06-05 07:00:00,13.979365,0.0,0.0,13.979365,13.979365085314292
2024-06-05 08:00:00,7.1727338,0.0,0.0,7.1727338,7.172733753327655
2024-06-05 09:00:00,12.149151,0.0,0.0,12.149151,12.149150985845864
2024-06-05 10:00:00,9.1476488,0.0,0.0,9.1476488,9.14764884447333
2024-06-05 11:00:00,7.884943,0.0,0.0,7.884943,7.884942967396068
2024-06-05 12:00:00,16.625961,0.0,0.0,16.625961,16.62596093301281
2024-06-05 13:00:00,0.0,0.0,0.0,0.0,0.0
2024-06-05 14:00:00,11.201934,0.0,0.0,11.201934,11.201933817503786
2024-06-05 15:00:00,18.05753,0.0,0.0,18.05753,18.057530333081107
2024-06-05 16:00:00,3.9009237,0.0,0.0,3.9009237,3.900923718137534
2024-06-05 17:00:00,8.5533349,0.0,0.0,8.5533349,8.553334937165921
2024-06-05 18:00:00,12.377963,0.0,0.0,12.377963,12.377962981353761
2024-06-05 19:00:00,14.885396,0.0,0.0,14.885396,14.885395719184668
2024-06-05 20:00:00,21.125331,0.0,0.0,21.125331,21.12533117812056
2024-06-05 21:00:00,25.032778,0.0,0.0,25.032778,25.032778218285163
2024-06-05 22:00:00,25.331601,0.0,0.0,25.331601,25.331600525115903
2024-06-05 23:00:00,20.980713,0.0,0.0,20.980713,20.980712520946078
2024-06-06 00:00:00,18.805495,0.0,0.0,18.805495,18.805495498176523
2024-06-06 01:00:00,20.268913,0.0,0.0,20.268913,20.268913452434475
2024-06-06 02:00:00,20.670737,0.0,0.0,20.670737,20.670736763066966
2024-06-06 03:00:00,23.378527,0.0,0.0,23.378527,23.378527325016268
2024-06-06 04:00:00,24.181599,0.0,0.0,24.181599,24.18159905700639
2024-06-06 05:00:00,25.535307,0.0,0.0,25.535307,25.535306588724264
2024-06-06 06:00:00,27.265939,0.0,0.0,27.265939,27.265938576078693
2024-06-06 07:00:00,18.280831,0.0,0.0,18.280831,18.280830895154004
2024-06-06 08:00:00,12.008387,0.0,0.0,12.008387,12.008387061937224
2024-06-06 09:00:00,15.750168,0.0,0.0,15.750168,15.75016767853355
2024-06-06 10:00:00,8.8459817,0.0,0.0,8.8459817,8.845981737497752
2024-06-06 11:00:00,5.1738067,0.0,0.0,5.1738067,5.173806722454639
2024-06-06 12:00:00,15.484081,0.0,0.0,15.484081,15.484080812905113
2024-06-06 13:00:00,8.7813827,0.0,0.0,8.7813827,8.781382711254277
2024-06-06 14:00:00,8.6176269,0.0,0.0,8.6176269,8.617626852278566
2024-06-06 15:00:00,8.5078123,0.0,0.0,8.5078123,8.507812303568148
2024-06-06 16:00:00,13.385236,0.0,0.0,13.385236,13.385235620091667
2024-06-06 17:00:00,16.089089,0.0,0.0,16.089089,16.089089259419893
2024-06-06 18:00:00,11.863994,0.0,0.0,11.863994,11.863994395942871
2024-06-06 19:00:00,24.01065,0.0,0.0,24.01065,24.01064976188784
2024-06-06 20:00:00,20.822122,0.0,0.0,20.822122,20.82212195241882
2024-06-06 21:00:00,23.515693,0.0,0.0,23.515693,23.515692819952204
2024-06-06 22:00:00,19.730863,0.0,0.0,19.730863,19.730862767037564
2024-06-06 23:00:00,21.741313,0.0,0.0,21.741313,21.741313155671367
2024-06-07 00:00:00,19.12133,0.0,0.0,19.12133,19.12133009414383
2024-06-07 01:00:00,19.376964,0.0,0.0,19.376964,19.376964109730473
2024-06-07 02:00:00,19.422597,0.0,0.0,19.422597,19.422596538519606
2024-06-07 03:00:00,21.12856,0.0,0.0,21.12856,21.128559632531037
2024-06-07 04:00:00,24.527903,0.0,0.0,24.527903,24.52790253431599
2024-06-07 05:00:00,25.235573,0.0,0.0,25.235573,25.235572851168016
2024-06-07 06:00:00,21.571183,0.0,0.0,21.571183,21.57118277150412
2024-06-07 07:00:00,14.501954,0.0,0.0,14.501954,14.501953916608912
2024-06-07 08:00:00,15.605866,0.0,0.0,15.605866,15.605866077525576
2024-06-07 09:00:00,13.047765,0.0,0.0,13.047765,13.047764958294525
2024-06-07 10:00:00,2.2821706,0.0,0.0,2.2821706,2.282170554764157
2024-06-07 11:00:00,2.3770046,0.0,0.0,2.3770046,2.3770046041102475
2024-06-07 12:00:00,9.9745918,0.0,0.0,9.9745918,9.974591758867884
2024-06-07 13:00:00,9.7567575,0.0,0.0,9.7567575,9.75675749017769
2024-06-07 14:00:00,8.4941345,0.0,0.0,8.4941345,8.494134515320308
2024-06-07 15:00:00,8.6495948,0.0,0.0,8.6495948,8.649594836976672
2024-06-07 16:00:00,11.479021,0.0,0.0,11.479021,11.479021057925458
2024-06-07 17:00:00,16.442628,0.0,0.0,16.442628,16.442628105694343
2024-06-07 18:00:00,15.192475,0.0,0.0,15.192475,15.19247486564442
2024-06-07 19:00:00,14.446613,0.0,0.0,14.446613,14.446613456688175
2024-06-07 20:00:00,21.460665,0.0,0.0,21.460665,21.4606650731039
2024-06-07 21:00:00,23.645609,0.0,0.0,23.645609,23.64560923286946
2024-06-07 22:00:00,24.326292,0.0,0.0,24.326292,24.326291707445893
2024-06-07 23:00:00,21.917172,0.0,0.0,21.917172,21.91717241131441
2024-06-08 00:00:00,18.071711,0.0,0.0,18.071711,18.07171071691125
2024-06-08 01:00:00,17.938856,0.0,0.0,17.938856,17.93885621079685
2024-06-08 02:00:00,17.324486,0.0,0.0,17.324486,17.3244860202543
2024-06-08 03:00:00,19.87488,0.0,0.0,19.87488,19.874879668163175
2024-06-08 04:00:00,19.953564,0.0,0.0,19.953564,19.953563748809906
2024-06-08 05:00:00,20.661591,0.0,0.0,20.661591,20.661591354349127
2024-06-08 06:00:00,16.527551,0.0,0.0,16.527551,16.52755061813592
2024-06-08 07:00:00,18.170997,0.0,0.0,18.170997,18.170997169840277
2024-06-08 08:00:00,12.753103,0.0,0.0,12.753103,12.753102972760157
2024-06-08 09:00:00,6.8372899,0.0,0.0,6.8372899,6.837289885193972
2024-06-08 10:00:00,10.594499,0.0,0.0,10.594499,10.594498902292074
2024-06-08 11:00:00,0.0,0.0,0.0,0.0,0.0
2024-06-08 12:00:00,10.479017,0.0,0.0,10.479017,10.479017212805033
2024-06-08 13:00:00,6.900568,0.0,0.0,6.900568,6.900568017349581
2024-06-08 14:00:00,4.7427439,0.0,0.0,4.7427439,4.742743880249211
2024-06-08 15:00:00,17.501042,0.0,0.0,17.501042,17.501041578072968
2024-06-08 16:00:00,5.9224888,0.0,0.0,5.9224888,5.922488799154898
2024-06-08 17:00:00,21.300547,0.0,0.0,21.300547,21.300546558795304
2024-06-08 18:00:00,12.16131,0.0,0.0,12.16131,12.161310279567846
