,daily_pv_energy_kwh
2024-06-01,780.7732158556763
2024-06-02,649.5368055508908
2024-06-03,619.3832274199365
2024-06-04,696.9884152478679
2024-06-05,840.0846108803421
2024-06-06,925.4444457105529
2024-06-07,910.2506519960962
