t,S,I,R
1.162907268170425965e+02,5.956928938375107828e+04,2.737351223299343019e+03,9.376933593929497292e+05
1.166917293233082660e+02,5.955008854197827895e+04,2.648994335174418666e+03,9.378009171228475170e+05
1.170927318295739212e+02,5.953152910261796933e+04,2.563548083921160014e+03,9.379049228134610457e+05
1.174937343358395907e+02,5.951358704177514301e+04,2.480907469433049755e+03,9.380055054887919687e+05
1.178947368421052602e+02,5.949623866301346425e+04,2.400968933410066711e+03,9.381027924035766628e+05
1.182957393483709154e+02,5.947946059735521703e+04,2.323630359358676742e+03,9.381969090432863450e+05
1.186967418546365849e+02,5.946322980328132689e+04,2.248791072591823195e+03,9.382879791241270723e+05
1.190977443609022544e+02,5.944752356673137547e+04,2.176351840228942365e+03,9.383761245930398582e+05
1.194987468671679096e+02,5.943231950110357138e+04,2.106214871195959404e+03,9.384614656277006725e+05
1.198997493734335791e+02,5.941759554725477938e+04,2.038283816225272858e+03,9.385441206365200924e+05
1.203007518796992485e+02,5.940332997350049118e+04,1.972463767855780588e+03,9.386242062586438842e+05
1.207017543859649038e+02,5.938950137561484735e+04,1.908661260432862946e+03,9.387018373639525380e+05
1.211027568922305733e+02,5.937609186422396306e+04,1.846796101148350999e+03,9.387771120346278185e+05
1.215037593984962285e+02,5.936310437590318907e+04,1.786867154343831089e+03,9.388500284697532188e+05
1.219047619047618980e+02,5.935053096544097934e+04,1.728835496758296131e+03,9.389206335378008662e+05
1.223057644110275675e+02,5.933836067499942146e+04,1.672651311973438169e+03,9.389889880130273523e+05
1.227067669172932227e+02,5.932658267037833866e+04,1.618265346408510595e+03,9.390551519832133781e+05
1.231077694235588922e+02,5.931518624101531896e+04,1.565628909320322009e+03,9.391191848496645689e+05
1.235087719298245474e+02,5.930416079998568603e+04,1.514693872803249633e+03,9.391811453272112412e+05
1.239097744360902169e+02,5.929349588400252833e+04,1.465412671789224760e+03,9.392410914442084031e+05
1.243107769423558864e+02,5.928318115341669181e+04,1.417738304047745487e+03,9.392990805425357539e+05
1.247117794486215416e+02,5.927320639221675810e+04,1.371624330185870349e+03,9.393551692775975680e+05
1.251127819548872111e+02,5.926356150802906632e+04,1.327024873648214225e+03,9.394094136183229275e+05
1.255137844611528806e+02,5.925423653211772034e+04,1.283894620716958798e+03,9.394618688471654896e+05
1.259147869674185358e+02,5.924522161938455974e+04,1.242188820511845734e+03,9.395125895601037191e+05
1.263157894736842053e+02,5.923650704836919613e+04,1.201863284990174179e+03,9.395616296666407725e+05
1.267167919799498748e+02,5.922808322124896222e+04,1.162874388946808949e+03,9.396090423898043809e+05
1.271177944862155300e+02,5.921994066383898462e+04,1.125179070014175522e+03,9.396548802661470836e+05
1.275187969924811995e+02,5.921207002559209650e+04,1.088734828662255950e+03,9.396991951457458781e+05
1.279197994987468547e+02,5.920446207959892490e+04,1.053499728198600224e+03,9.397420381922026863e+05
1.283208020050125242e+02,5.919710772258781799e+04,1.019432394768313316e+03,9.397834598826440051e+05
1.287218045112781795e+02,5.918999797492489597e+04,9.864920173540665473e+02,9.398235100077212555e+05
1.291228070175438631e+02,5.918312398061402200e+04,9.546383477760866754e+02,9.398622376716100844e+05
1.295238095238095184e+02,5.917647700729680946e+04,9.238317006921696475e+02,9.398996912920111790e+05
1.299248120300751737e+02,5.917004844625263650e+04,8.940329535976651414e+02,9.399359186001499183e+05
1.303258145363408573e+02,5.916382981239862420e+04,8.652035468254853185e+02,9.399709666407760233e+05
1.307268170426065126e+02,5.915781274428964389e+04,8.373054835461089169e+02,9.400048817721644882e+05
1.311278195488721678e+02,5.915198900411832437e+04,8.103013297675699960e+02,9.400377096661143005e+05
1.315288220551378231e+02,5.914635047771504469e+04,7.841542143354652126e+02,9.400694953079497209e+05
1.319298245614035068e+02,5.914088917454793409e+04,7.588278289329518884e+02,9.401002829965193523e+05
1.323308270676691620e+02,5.913559722772287932e+04,7.342864280807527848e+02,9.401301163441966055e+05
1.327318295739348173e+02,5.913046689398351737e+04,7.104948291371470077e+02,9.401590382768794661e+05
1.331328320802005010e+02,5.912549388239885593e+04,6.874326385633564769e+02,9.401870734790380811e+05
1.335338345864661562e+02,5.912067835049467976e+04,6.650988546720039949e+02,9.402142227948335931e+05
1.339348370927318115e+02,5.911601626463956927e+04,6.434748427966346753e+02,9.402405088925639866e+05
1.343358395989974952e+02,5.911150354757764580e+04,6.225417999489820886e+02,9.402659546524735633e+05
1.347368421052631504e+02,5.910713616866742086e+04,6.022811381997079252e+02,9.402905826931331540e+05
1.351378446115288057e+02,5.910291014388178155e+04,5.826744846783932417e+02,9.403144153714400018e+05
1.355388471177944893e+02,5.909882153580801969e+04,5.637036815735428945e+02,9.403374747826186940e+05
1.359398496240601446e+02,5.909486645364780998e+04,5.453507861325895192e+02,9.403597827602198813e+05
1.363408521303257999e+02,5.909104105321720999e+04,5.275980706618856857e+02,9.403813608761210926e+05
1.367418546365914835e+02,5.908734153694666747e+04,5.104280225267076503e+02,9.404022304405268515e+05
1.371428571428571388e+02,5.908376415388102760e+04,4.938233441512593913e+02,9.404224125019679777e+05
1.375438596491227941e+02,5.908030519967951113e+04,4.777669530186645943e+02,9.404419278473020531e+05
1.379448621553884777e+02,5.907696101661574357e+04,4.622419816709711995e+02,9.404607970017135376e+05
1.383458646616541330e+02,5.907372799357772601e+04,4.472317777091539597e+02,9.404790402287133038e+05
1.387468671679197882e+02,5.907060256606784242e+04,4.327199037931082444e+02,9.404966775301393354e+05
1.391478696741854435e+02,5.906758121620289603e+04,4.186901376416543030e+02,9.405137286461556796e+05
1.395488721804511272e+02,5.906466047271403659e+04,4.051264720325351618e+02,9.405302130552536109e+05
1.399498746867167824e+02,5.906183691094683309e+04,3.920131148024203753e+02,9.405461499742509332e+05
1.403508771929824377e+02,5.905910715286123741e+04,3.793344888469006264e+02,9.405615583582920954e+05
1.407518796992481214e+02,5.905646786703157704e+04,3.670752321204902842e+02,9.405764569008481922e+05
1.411528822055137766e+02,5.905391576864658418e+04,3.552201976366301892e+02,9.405908640337169636e+05
1.415538847117794319e+02,5.905144761950937391e+04,3.437544534676822536e+02,9.406047979270231444e+05
1.419548872180451156e+02,5.904906022803743690e+04,3.326632827449324168e+02,9.406182764892178820e+05
1.423558897243107708e+02,5.904675044926267583e+04,3.219321836585925212e+02,9.406313173670789693e+05
1.427568922305764261e+02,5.904451518483136897e+04,3.115468694577961060e+02,9.406439379457110772e+05
1.431578947368421098e+02,5.904235138300417748e+04,3.014932684506000555e+02,9.406561553485454060e+05
1.435588972431077650e+02,5.904025603865616722e+04,2.917575240039877258e+02,9.406679864373400342e+05
1.439598997493734203e+02,5.903822619327677967e+04,2.823259945438639420e+02,9.406794478121795692e+05
1.443609022556390755e+02,5.903625893496984645e+04,2.731852535550577272e+02,9.406905558114753803e+05
1.447619047619047592e+02,5.903435152380280488e+04,2.643226534981405962e+02,9.407013258226992330e+05
1.451629072681704145e+02,5.903250363608910266e+04,2.557364488675145537e+02,9.407117599150435999e+05
1.455639097744360697e+02,5.903071438643377041e+04,2.474224328479618862e+02,9.407218631807185011e+05
1.459649122807017534e+02,5.902898223094535933e+04,2.393734469497444195e+02,9.407316443221051013e+05
1.463659147869674086e+02,5.902730564332840731e+04,2.315824142811494823e+02,9.407411119423906785e+05
1.467669172932330639e+02,5.902568311488348263e+04,2.240423395484863818e+02,9.407502745455682743e+05
1.471679197994987476e+02,5.902411315450712573e+04,2.167463090560881653e+02,9.407591405364370439e+05
1.475689223057644028e+02,5.902259428869190742e+04,2.096874907063131843e+02,9.407677182206020225e+05
1.479699248120300581e+02,5.902112506152638525e+04,2.028591339995419673e+02,9.407760158044742420e+05
1.483709273182957418e+02,5.901970403469511803e+04,1.962545700341787551e+02,9.407840413952709641e+05
1.487719298245613970e+02,5.901832978747868037e+04,1.898672115066530068e+02,9.407918030010148650e+05
1.491729323308270523e+02,5.901700091675364820e+04,1.836905527114163874e+02,9.407993085305351997e+05
1.495739348370927360e+02,5.901571603699258412e+04,1.777181695409444160e+02,9.408065657934666378e+05
1.499749373433583912e+02,5.901447378026408114e+04,1.719437194857375175e+02,9.408135825002504280e+05
1.503759398496240465e+02,5.901327279623270442e+04,1.663609416343186922e+02,9.408203662621332332e+05
1.507769423558897302e+02,5.901211175215904223e+04,1.609636566732345102e+02,9.408269245911679463e+05
1.511779448621553854e+02,5.901098933289968409e+04,1.557457668870566181e+02,9.408332649002134567e+05
1.515789473684210407e+02,5.900990424090721353e+04,1.507012561583790671e+02,9.408393945029346505e+05
1.519799498746866959e+02,5.900885519623022992e+04,1.458241899678200753e+02,9.408453206138021778e+05
1.523809523809523796e+02,5.900784093651332660e+04,1.411087153940212033e+02,9.408510503480928019e+05
1.527819548872180349e+02,5.900686021699710545e+04,1.365490611136489463e+02,9.408565907218893990e+05
1.531829573934836901e+02,5.900591181051816238e+04,1.321395374013921753e+02,9.408619486520806095e+05
1.535839598997493738e+02,5.900499450750910182e+04,1.278745361299637295e+02,9.408671309563611867e+05
1.539849624060150290e+02,5.900410711599853676e+04,1.237485307701010129e+02,9.408721443532315316e+05
1.543859649122806843e+02,5.900324846161107416e+04,1.197560763905643171e+02,9.408769954619986238e+05
1.547869674185463680e+02,5.900241738756732957e+04,1.158918096581376176e+02,9.408816908027747413e+05
1.551879699248120232e+02,5.900161275468391977e+04,1.121504488376293409e+02,9.408862367964786245e+05
1.555889724310776785e+02,5.900083344137347012e+04,1.085267937918709436e+02,9.408906397648348939e+05
1.559899749373433622e+02,5.900007834364459268e+04,1.050157259817175941e+02,9.408949059303739341e+05
1.563909774436090174e+02,5.899934637510192260e+04,1.016122084660489406e+02,9.408990414164322428e+05
1.567919799498746727e+02,5.899863699341399479e+04,9.831371331240586642e+01,9.409030492932738271e+05
1.571929824561403279e+02,5.899795058929215156e+04,9.512201596533259362e+01,9.409069273947427282e+05
1.575939849624060116e+02,5.899728647714432736e+04,9.203393066046035642e+01,9.409106795921954326e+05
1.579949874686716669e+02,5.899664393586590450e+04,8.904610846434012217e+01,9.409143099556700327e+05
1.583959899749373221e+02,5.899602226539074763e+04,8.615529799900889429e+01,9.409178224366104696e+05
1.587969924812030058e+02,5.899542078669119655e+04,8.335834544199036600e+01,9.409212208678671159e+05
1.591979949874686611e+02,5.899483884177805885e+04,8.065219452629547447e+01,9.409245089636959601e+05
1.595989974937343163e+02,5.899427579370064632e+04,7.803388654042126404e+01,9.409276903197591892e+05
1.600000000000000000e+02,5.899373102654670947e+04,7.550056032835145459e+01,9.409307684131251881e+05
