t,S,I,R
2.245614035087719174e+01,9.868878049228291493e+05,8.745723602787382333e+03,4.366471474383437453e+03
2.285714285714285410e+01,9.858086628780964529e+05,9.460374071387986987e+03,4.730963050515579198e+03
2.325814536340852001e+01,9.846420959541131742e+05,1.023245635339143519e+04,5.125447692495383308e+03
2.365914786967418593e+01,9.833812938169696135e+05,1.106634207124462046e+04,5.552364111785713249e+03
2.406015037593984829e+01,9.820190556980184047e+05,1.196664238590814603e+04,6.014301916073408393e+03
2.446115288220551065e+01,9.805477903938743984e+05,1.293820799685631937e+04,6.514001609269298569e+03
2.486215538847117656e+01,9.789595162664146628e+05,1.398612914207716494e+04,7.054354591508189515e+03
2.526315789473684248e+01,9.772458612427787157e+05,1.511573559807238598e+04,7.638403159148862869e+03
2.566416040100250484e+01,9.753980628153685248e+05,1.633259667985738270e+04,8.269340504774074361e+03
2.606516290726816720e+01,9.734069723955694353e+05,1.764251670359177297e+04,8.950510900838808084e+03
2.646616541353383312e+01,9.712651957467462635e+05,1.904918614409262227e+04,9.685618109161106986e+03
2.686716791979949903e+01,9.689619997855299152e+05,2.055911178177860711e+04,1.047888843269145764e+04
2.726817042606516139e+01,9.664833930451204069e+05,2.218176877477144808e+04,1.133483818010819596e+04
2.766917293233082376e+01,9.638151726145981811e+05,2.392651234986795316e+04,1.225831503553385846e+04
2.807017543859648967e+01,9.609429241389249219e+05,2.580257780253995952e+04,1.325449805853516409e+04
2.847117794486215558e+01,9.578520218189426232e+05,2.781908049693434077e+04,1.432889768412300327e+04
2.887218045112781795e+01,9.545276284113745205e+05,2.998501586587299971e+04,1.548735572275244704e+04
2.927318295739348031e+01,9.509546952288242755e+05,3.230925941085292288e+04,1.673604536032277247e+04
2.967418546365914622e+01,9.471179621397764422e+05,3.480056670204615511e+04,1.808147115817743179e+04
3.007518796992481214e+01,9.430019575685962336e+05,3.746757337829974131e+04,1.953046905310406873e+04
3.047619047619047450e+01,9.385909984955297550e+05,4.031879514713575918e+04,2.109020635733445670e+04
3.087719298245613686e+01,9.338691904567040037e+05,4.336262778475140658e+04,2.276818175854463698e+04
3.127819548872180277e+01,9.288204275441262871e+05,4.660734713601889962e+04,2.457222531985480600e+04
3.167919799498746869e+01,9.234283924056851538e+05,5.006110911448546540e+04,2.651049847982932260e+04
3.208020050125313105e+01,9.176765562451499281e+05,5.373194970237337111e+04,2.859149405247671530e+04
3.248120300751879341e+01,9.115481788221702445e+05,5.762778495057999680e+04,3.082403622724974412e+04
3.288220551378445577e+01,9.050263084522768622e+05,6.175641097867772623e+04,3.321728056904533150e+04
3.328320802005012524e+01,8.980937820068811998e+05,6.612550397491407057e+04,3.578071401820464962e+04
3.368421052631578760e+01,8.907332249132756842e+05,7.074262019621135551e+04,3.852415489051287295e+04
3.408521303258144997e+01,8.829427085624028696e+05,7.560458675850382133e+04,4.145270467909336003e+04
3.448621553884711943e+01,8.747163377962751547e+05,8.070966273686315981e+04,4.457399946686172188e+04
3.488721804511278179e+01,8.660296147770569660e+05,8.606774368276206951e+04,4.790264154018108820e+04
3.528822055137844416e+01,8.568622303709087428e+05,9.168541683686712349e+04,5.145235279222417739e+04
3.568922305764410652e+01,8.471980915303658694e+05,9.756594292352837510e+04,5.523596554610579915e+04
3.609022556390976888e+01,8.370253212943377439e+05,1.037092561507794599e+05,5.926542255488290539e+04
3.649122807017543835e+01,8.263362587881076615e+05,1.101119642103377846e+05,6.355177700155466300e+04
3.689223057644110071e+01,8.151274592233339790e+05,1.167673482776038873e+05,6.810519249906213372e+04
3.729323308270676307e+01,8.033996938980489504e+05,1.236653630116623826e+05,7.293494309028875432e+04
3.769423558897243254e+01,7.911579501966586104e+05,1.307926365552813513e+05,7.804941324806009652e+04
3.809523809523809490e+01,7.784114315899442881e+05,1.381324705349121941e+05,8.345609787514363416e+04
3.849624060150375726e+01,7.651735576350606279e+05,1.456648400606902433e+05,8.916160230424921610e+04
3.889724310776941962e+01,7.514619639755372191e+05,1.533663937264342676e+05,9.517164229802870250e+04
3.929824561403508199e+01,7.372985023412773153e+05,1.612104536096465890e+05,1.014910440490761830e+05
3.969924812030075145e+01,7.227092405485587660e+05,1.691670152715134900e+05,1.081237441799279477e+05
4.010025062656641381e+01,7.077244625000340166e+05,1.772027477569041075e+05,1.150727897430620214e+05
4.050125313283207618e+01,6.923786681847294094e+05,1.852809935943718301e+05,1.223403382208990515e+05
4.090225563909774564e+01,6.767105736780450679e+05,1.933617687961534830e+05,1.299276575258017110e+05
4.130325814536340800e+01,6.607631111417566426e+05,2.014017628581692115e+05,1.378351260000744078e+05
4.170426065162907037e+01,6.445834288240130991e+05,2.093543387600229762e+05,1.460622324159642158e+05
4.210526315789473273e+01,6.282228910593378823e+05,2.171695329650024069e+05,1.546075759756600601e+05
4.250626566416039509e+01,6.117347707639130531e+05,2.247957588366663258e+05,1.634694703994206502e+05
4.290726817042606456e+01,5.951513145693287952e+05,2.322015933780246996e+05,1.726470920526465925e+05
4.330827067669172692e+01,5.785158240320163313e+05,2.393571483421350422e+05,1.821270276258486847e+05
4.370927318295738928e+01,5.618750479441601783e+05,2.462316321470717085e+05,1.918933199087681132e+05
4.411027568922305875e+01,5.452735552564498503e+05,2.527965465565443155e+05,2.019298981870058924e+05
4.451127819548872111e+01,5.287537350780803245e+05,2.590256866798974224e+05,2.122205782420223404e+05
4.491228070175438347e+01,5.123557966767506441e+05,2.648951409721113159e+05,2.227490623511381564e+05
4.531328320802004583e+01,4.961177694786650245e+05,2.703832912338014576e+05,2.334989392875336343e+05
4.571428571428570820e+01,4.800755030685325619e+05,2.754708126112185419e+05,2.444536843202489545e+05
4.611528822055137766e+01,4.642626671895668842e+05,2.801406735962488456e+05,2.555966592141843576e+05
4.651629072681704002e+01,4.487107517434873153e+05,2.843781360264135292e+05,2.669111122300992720e+05
4.691729323308270239e+01,4.334490667905171867e+05,2.881707550848693936e+05,2.783801781246135361e+05
4.731829573934837185e+01,4.185047425493845949e+05,2.915083793004086474e+05,2.899868781502068741e+05
4.771929824561403422e+01,4.039027293973234482e+05,2.943831505474583828e+05,3.017141200552182272e+05
4.812030075187969658e+01,3.896657978700716048e+05,2.967895040460814489e+05,3.135446980838470627e+05
4.852130325814535894e+01,3.758145386618720368e+05,2.987241683619757532e+05,3.254612929761522100e+05
4.892230576441102130e+01,3.623673626254727133e+05,3.001861654064746690e+05,3.374464719680526759e+05
4.932330827067669077e+01,3.493405007721259608e+05,3.011768104365468025e+05,3.494826887913271785e+05
4.972431077694235313e+01,3.367480042715899181e+05,3.016997120547961094e+05,3.615522836736139725e+05
5.012531328320801549e+01,3.246017444521266152e+05,3.017607722094617784e+05,3.736374833384115482e+05
5.052631578947368496e+01,3.129114128005031962e+05,3.013681861944185803e+05,3.857204010050782817e+05
5.092731829573934732e+01,3.016845209619921516e+05,3.005324426491761114e+05,3.977830363888316788e+05
5.132832080200500968e+01,2.909264007403702126e+05,2.992663235588798416e+05,4.098072757007499458e+05
5.172932330827067204e+01,2.806402040979191079e+05,2.975849042543101823e+05,4.217748916477706516e+05
5.213032581453633441e+01,2.708116640728027560e+05,2.955240013640167308e+05,4.336643345631806296e+05
5.253132832080200387e+01,2.614111441909062269e+05,2.931306879913986195e+05,4.454581678176952992e+05
5.293233082706766623e+01,2.524221971631654305e+05,2.904315242664769175e+05,4.571462785703578265e+05
5.333333333333332860e+01,2.438288912883436424e+05,2.874519997841592995e+05,4.687191089274972328e+05
5.373433583959899806e+01,2.356157617570411530e+05,2.842165987787212944e+05,4.801676394642376690e+05
5.413533834586466043e+01,2.277678106516957050e+05,2.807488001238064026e+05,4.914833892244980088e+05
5.453634085213032279e+01,2.202705069465815322e+05,2.770710773324256297e+05,5.026584157209929544e+05
5.493734335839598515e+01,2.131097865078100003e+05,2.732048985569578945e+05,5.136853149352322216e+05
5.533834586466164751e+01,2.062720520933295484e+05,2.691707265891497955e+05,5.245572213175208308e+05
5.573934837092731698e+01,1.997441733529253979e+05,2.649880188601156697e+05,5.352678077869591070e+05
5.614035087719297934e+01,1.935134868282200478e+05,2.606752274403378251e+05,5.458112857314422727e+05
5.654135338345864170e+01,1.875677959526727791e+05,2.562497990396661917e+05,5.561824050076612039e+05
5.694235588972431117e+01,1.818953710515797720e+05,2.517281750073183794e+05,5.663764539411020232e+05
5.734335839598997353e+01,1.764849493420744548e+05,2.471257913318800565e+05,5.763892593260456342e+05
5.774436090225563589e+01,1.713257349331270671e+05,2.424570786413043388e+05,5.862171864255687688e+05
5.814536340852129825e+01,1.664073988255448639e+05,2.377354622029123129e+05,5.958571389715430560e+05
5.854636591478696062e+01,1.617200789119719993e+05,2.329733619233927457e+05,6.053065591646354878e+05
5.894736842105263008e+01,1.572543799768897006e+05,2.281821923488021130e+05,6.145634276743084192e+05
5.934837092731829244e+01,1.530013736966162978e+05,2.233723626645648910e+05,6.236262636388191022e+05
5.974937343358395481e+01,1.489525986393069034e+05,2.185532766954731196e+05,6.324941246652202681e+05
6.015037593984962427e+01,1.451000602649535576e+05,2.137333329056865477e+05,6.411666068293601274e+05
6.055137844611528664e+01,1.414362309253856656e+05,2.089199243987330119e+05,6.496438446758816717e+05
6.095238095238094900e+01,1.379540498642692110e+05,2.041194389175077667e+05,6.579265112182233715e+05
6.135338345864661136e+01,1.346452310203967209e+05,1.993395062129112484e+05,6.660152627666922053e+05
6.175438596491227372e+01,1.314935692490021465e+05,1.945972112678522244e+05,6.739092194831457455e+05
6.215538847117794319e+01,1.284898437579744641e+05,1.898992331352523179e+05,6.816109231067734072e+05
6.255639097744360555e+01,1.256264561511520442e+05,1.852501268651241262e+05,6.891234169837239897e+05
6.295739348370926791e+01,1.228961104986092541e+05,1.806541518285400525e+05,6.964497376728508389e+05
6.335839598997493738e+01,1.202918133366567054e+05,1.761152717176326842e+05,7.035929149457107997e+05
6.375939849624059974e+01,1.178068736678413698e+05,1.716371545455947926e+05,7.105559717865639832e+05
6.416040100250626210e+01,1.154349029609463178e+05,1.672231726466790715e+05,7.173419243923746981e+05
6.456140350877193157e+01,1.131698151509908348e+05,1.628764026761982823e+05,7.239537821728109848e+05
6.496240601503758683e+01,1.110058266392305959e+05,1.585996256105255161e+05,7.303945477502440335e+05
6.536340852130325629e+01,1.089374562931572000e+05,1.543953267470934661e+05,7.366672169597494649e+05
6.576441102756891155e+01,1.069595254464988247e+05,1.502656957043954753e+05,7.427747788491058163e+05
6.616541353383458102e+01,1.050671578992195573e+05,1.462126264219844015e+05,7.487202156787961721e+05
