time,temperature_K
2.124248496993988056e+01,2.879999919329340514e+02
2.164328657314629467e+01,2.879999917807252814e+02
2.204408817635270523e+01,2.879999916285165682e+02
2.244488977955911935e+01,2.879999914763077982e+02
2.284569138276553346e+01,2.879999913240990281e+02
2.324649298597194402e+01,2.879999911718902581e+02
2.364729458917835814e+01,2.879999910196814881e+02
2.404809619238476870e+01,2.879999908674727180e+02
2.444889779559118281e+01,2.879999907152639480e+02
2.484969939879759693e+01,2.879999905630551780e+02
2.525050100200400749e+01,2.879999904108464079e+02
2.565130260521042160e+01,2.879999902586376948e+02
2.605210420841683572e+01,2.879999901064289247e+02
2.645290581162324628e+01,2.879999899542201547e+02
2.685370741482966039e+01,2.879999898020113847e+02
2.725450901803607451e+01,2.879999896498026146e+02
2.765531062124248507e+01,2.879999894975939014e+02
2.805611222444889918e+01,2.879999893453851314e+02
2.845691382765530975e+01,2.879999891931763614e+02
2.885771543086172386e+01,2.879999890409676482e+02
2.925851703406813797e+01,2.879999888887588781e+02
2.965931863727454854e+01,2.879999887365501081e+02
3.006012024048096265e+01,2.879999885843413949e+02
3.046092184368737676e+01,2.879999884321326249e+02
3.086172344689378733e+01,2.879999882799238549e+02
3.126252505010020144e+01,2.879999881277151417e+02
3.166332665330661555e+01,2.879999879755063716e+02
3.206412825651302967e+01,2.879999878232976016e+02
3.246492985971944023e+01,2.879999876710888884e+02
3.286573146292585079e+01,2.879999875188801184e+02
3.326653306613226846e+01,2.879999873666714052e+02
3.366733466933867902e+01,2.879999872144626352e+02
3.406813627254508958e+01,2.879999870622539220e+02
3.446893787575150725e+01,2.879999869100451519e+02
3.486973947895791781e+01,2.879999867578364388e+02
3.527054108216432837e+01,2.879999866056276687e+02
3.567134268537074604e+01,2.879999864534189555e+02
3.607214428857715660e+01,2.879999863012101855e+02
3.647294589178356716e+01,2.879999861490014723e+02
3.687374749498997772e+01,2.879999859967927591e+02
3.727454909819639539e+01,2.879999858445839891e+02
3.767535070140280595e+01,2.879999856923752759e+02
3.807615230460921651e+01,2.879999855401665059e+02
3.847695390781563418e+01,2.879999853879577927e+02
3.887775551102204474e+01,2.879999852357490795e+02
3.927855711422845530e+01,2.879999850835403095e+02
3.967935871743487297e+01,2.879999849313315963e+02
4.008016032064128353e+01,2.879999847791228831e+02
4.048096192384769410e+01,2.879999846269141699e+02
4.088176352705411176e+01,2.879999844747053999e+02
4.128256513026052232e+01,2.879999843224966867e+02
4.168336673346693289e+01,2.879999841702879735e+02
4.208416833667335055e+01,2.879999840180792603e+02
4.248496993987976111e+01,2.879999838658704903e+02
4.288577154308617168e+01,2.879999837136617771e+02
4.328657314629258934e+01,2.879999835614530639e+02
4.368737474949899990e+01,2.879999834092443507e+02
4.408817635270541047e+01,2.879999832570356375e+02
4.448897795591182813e+01,2.879999831048269243e+02
4.488977955911823869e+01,2.879999829526181543e+02
4.529058116232464926e+01,2.879999828004094411e+02
4.569138276553106692e+01,2.879999826482007279e+02
4.609218436873747748e+01,2.879999824959920147e+02
4.649298597194388805e+01,2.879999823437833015e+02
4.689378757515029861e+01,2.879999821915745883e+02
4.729458917835671627e+01,2.879999820393658752e+02
4.769539078156312684e+01,2.879999818871571620e+02
4.809619238476953740e+01,2.879999817349484488e+02
4.849699398797595506e+01,2.879999815827397356e+02
4.889779559118236563e+01,2.879999814305310224e+02
4.929859719438877619e+01,2.879999812783223092e+02
4.969939879759519386e+01,2.879999811261135960e+02
5.010020040080160442e+01,2.879999809739048828e+02
5.050100200400801498e+01,2.879999808216961696e+02
5.090180360721443265e+01,2.879999806694874565e+02
5.130260521042084321e+01,2.879999805172787433e+02
5.170340681362725377e+01,2.879999803650700869e+02
5.210420841683367144e+01,2.879999802128613737e+02
5.250501002004008200e+01,2.879999800606526605e+02
5.290581162324649256e+01,2.879999799084439474e+02
5.330661322645291023e+01,2.879999797562352342e+02
5.370741482965932079e+01,2.879999796040265210e+02
5.410821643286573135e+01,2.879999794518178646e+02
5.450901803607214902e+01,2.879999792996091514e+02
5.490981963927855958e+01,2.879999791474004383e+02
5.531062124248497014e+01,2.879999789951917251e+02
5.571142284569138781e+01,2.879999788429830687e+02
5.611222444889779837e+01,2.879999786907743555e+02
5.651302605210420893e+01,2.879999785385656423e+02
5.691382765531061949e+01,2.879999783863569860e+02
5.731462925851703716e+01,2.879999782341482728e+02
5.771543086172344772e+01,2.879999780819395596e+02
5.811623246492985828e+01,2.879999779297309033e+02
5.851703406813627595e+01,2.879999777775221901e+02
5.891783567134268651e+01,2.879999776253134769e+02
5.931863727454909707e+01,2.879999774731048205e+02
5.971943887775551474e+01,2.879999773208961074e+02
6.012024048096192530e+01,2.879999771686874510e+02
6.052104208416833586e+01,2.879999770164787378e+02
6.092184368737475353e+01,2.879999768642700246e+02
6.132264529058116409e+01,2.879999767120613683e+02
6.172344689378757465e+01,2.879999765598526551e+02
6.212424849699399232e+01,2.879999764076439988e+02
6.252505010020040288e+01,2.879999762554352856e+02
6.292585170340681344e+01,2.879999761032266292e+02
6.332665330661323111e+01,2.879999759510179729e+02
6.372745490981964167e+01,2.879999757988092597e+02
6.412825651302605934e+01,2.879999756466006033e+02
6.452905811623246279e+01,2.879999754943918902e+02
6.492985971943888046e+01,2.879999753421832338e+02
6.533066132264529813e+01,2.879999751899745206e+02
6.573146292585170158e+01,2.879999750377658643e+02
6.613226452905811925e+01,2.879999748855572079e+02
6.653306613226453692e+01,2.879999747333484947e+02
6.693386773547094037e+01,2.879999745811398384e+02
6.733466933867735804e+01,2.879999744289311820e+02
6.773547094188377571e+01,2.879999742767224689e+02
6.813627254509017916e+01,2.879999741245138125e+02
6.853707414829659683e+01,2.879999739723051562e+02
6.893787575150301450e+01,2.879999738200964998e+02
6.933867735470941795e+01,2.879999736678877866e+02
6.973947895791583562e+01,2.879999735156791303e+02
7.014028056112225329e+01,2.879999733634704739e+02
7.054108216432865675e+01,2.879999732112618176e+02
7.094188376753507441e+01,2.879999730590531613e+02
7.134268537074149208e+01,2.879999729068445049e+02
7.174348697394789554e+01,2.879999727546357917e+02
7.214428857715431320e+01,2.879999726024271354e+02
7.254509018036071666e+01,2.879999724502184790e+02
7.294589178356713433e+01,2.879999722980098227e+02
7.334669338677355199e+01,2.879999721458011663e+02
7.374749498997995545e+01,2.879999719935925100e+02
7.414829659318637312e+01,2.879999718413838536e+02
7.454909819639279078e+01,2.879999716891751973e+02
7.494989979959919424e+01,2.879999715369665410e+02
7.535070140280561191e+01,2.879999713847578846e+02
7.575150300601202957e+01,2.879999712325492283e+02
7.615230460921843303e+01,2.879999710803405719e+02
7.655310621242485070e+01,2.879999709281319156e+02
7.695390781563126836e+01,2.879999707759232592e+02
7.735470941883767182e+01,2.879999706237146029e+02
7.775551102204408949e+01,2.879999704715059465e+02
7.815631262525050715e+01,2.879999703192972902e+02
7.855711422845691061e+01,2.879999701670886338e+02
